"Î»,n (nm)",t
301.219512195122, 0.35555555555555557
303.2520325203252, 0.36068376068376073
305.2845528455285, 0.36752136752136755
307.3170731707317, 0.37264957264957266
310.1626016260163, 0.37435897435897436
312.1951219512195, 0.37948717948717947
314.2276422764228, 0.38461538461538464
316.260162601626, 0.38974358974358975
318.2926829268293, 0.3948717948717949
319.9186991869919, 0.4017094017094017
321.9512195121951, 0.40854700854700854
323.9837398373984, 0.4153846153846154
326.0162601626016, 0.423931623931624
328.0487804878049, 0.4307692307692308
329.6747967479675, 0.4376068376068376
330.8943089430894, 0.4461538461538462
332.1138211382114, 0.4564102564102564
334.1463414634146, 0.4683760683760684
335.7723577235772, 0.48205128205128206
337.3983739837398, 0.49230769230769234
339.8373983739837, 0.5008547008547009
341.869918699187, 0.5128205128205128
343.4959349593496, 0.5247863247863248
344.7154471544715, 0.5367521367521368
346.7479674796748, 0.5521367521367522
349.1869918699187, 0.558974358974359
350.4065040650406, 0.5675213675213675
352.8455284552846, 0.576068376068376
354.8780487804878, 0.5829059829059828
356.910569105691, 0.5897435897435898
360.1626016260163, 0.5982905982905983
363.0081300813008, 0.6034188034188035
365.040650406504, 0.6085470085470086
367.479674796748, 0.6136752136752137
370.3252032520325, 0.6188034188034188
373.1707317073171, 0.6188034188034188
377.6422764227642, 0.6222222222222222
377.6422764227642, 0.6222222222222222
380.4878048780488, 0.6222222222222222
383.739837398374, 0.6256410256410256
386.1788617886179, 0.6273504273504273
389.4308943089431, 0.6307692307692307
393.089430894309, 0.6324786324786325
396.7479674796748, 0.6341880341880342
399.5934959349594, 0.641025641025641
402.8455284552846, 0.641025641025641
406.0975609756098, 0.641025641025641
409.349593495935, 0.6444444444444444
411.7886178861788, 0.6461538461538462
415.4471544715447, 0.6444444444444444
419.1056910569106, 0.6478632478632479
421.9512195121951, 0.6478632478632479
424.390243902439, 0.652991452991453
427.6422764227642, 0.6495726495726496
430.8943089430894, 0.6512820512820513
434.1463414634146, 0.6581196581196581
437.3983739837398, 0.6581196581196581
441.4634146341464, 0.6564102564102564
444.3089430894309, 0.6598290598290598
447.5609756097561, 0.6615384615384616
450.8130081300813, 0.6615384615384616
454.0650406504065, 0.6615384615384616
456.910569105691, 0.664957264957265
460.1626016260162, 0.6666666666666667
463.4146341463414, 0.6683760683760684
467.0731707317073, 0.6683760683760684
470.3252032520325, 0.6683760683760684
473.5772357723577, 0.6735042735042736
476.42276422764223, 0.6752136752136753
480.0813008130081, 0.6786324786324787
482.9268292682927, 0.6820512820512821
486.5853658536586, 0.6803418803418804
489.8373983739838, 0.6854700854700855
493.089430894309, 0.6820512820512821
497.1544715447154, 0.6837606837606838
500.4065040650406, 0.6871794871794872
504.0650406504065, 0.6888888888888889
506.910569105691, 0.6888888888888889
509.7560975609756, 0.6923076923076923
513.0081300813008, 0.6923076923076923
515.8536585365854, 0.6923076923076923
519.1056910569106, 0.694017094017094
521.9512195121952, 0.6991452991452991
525.609756097561, 0.7008547008547008
529.6747967479674, 0.7025641025641025
534.1463414634146, 0.7008547008547008
537.8048780487804, 0.7008547008547008
541.0569105691056, 0.7025641025641025
544.7154471544716, 0.7042735042735042
548.780487804878, 0.7076923076923076
551.6260162601626, 0.7059829059829059
554.0650406504064, 0.7094017094017093
556.5040650406504, 0.7128205128205127
558.9430894308944, 0.7128205128205127
563.0081300813008, 0.7128205128205127
565.4471544715448, 0.7128205128205127
568.69918699187, 0.7162393162393164
571.9512195121952, 0.7179487179487181
576.0162601626016, 0.7179487179487181
579.2682926829268, 0.7196581196581198
582.520325203252, 0.7196581196581198
585.7723577235772, 0.7213675213675215
589.4308943089432, 0.7247863247863249
593.0894308943089, 0.7264957264957266
596.7479674796748, 0.7282051282051283
599.5934959349593, 0.7282051282051283
602.8455284552845, 0.7282051282051283
606.0975609756097, 0.72991452991453
609.7560975609756, 0.72991452991453
612.6016260162602, 0.72991452991453
616.260162601626, 0.7316239316239317
620.3252032520325, 0.7350427350427351
623.9837398373984, 0.7367521367521368
628.0487804878048, 0.7367521367521368
631.7073170731708, 0.7401709401709402
635.3658536585366, 0.7418803418803419
639.4308943089432, 0.7452991452991453
644.3089430894308, 0.747008547008547
647.1544715447154, 0.747008547008547
650.4065040650406, 0.747008547008547
653.6585365853658, 0.747008547008547
656.0975609756097, 0.7487179487179487
658.9430894308944, 0.7487179487179487
662.6016260162601, 0.7504273504273504
665.8536585365854, 0.7504273504273504
669.5121951219512, 0.7521367521367521
673.1707317073171, 0.7521367521367521
676.0162601626016, 0.7538461538461538
680.4878048780488, 0.7538461538461538
684.1463414634146, 0.7521367521367521
687.3983739837398, 0.7538461538461538
690.2439024390244, 0.7555555555555555
692.6829268292684, 0.7572649572649572
695.9349593495936, 0.7572649572649572
699.1869918699188, 0.7572649572649572