x, y
1.0152284263959643, -2.0754716981132084
3.045685279187836, -1.8396226415094343
3.045685279187836, -1.8396226415094343
7.10659898477158, -1.5566037735849063
11.167512690355352, -1.2735849056603774
17.258883248730967, -0.9905660377358494
19.289340101522868, -0.7075471698113214
23.35025380710661, -0.37735849056603854
29.441624365482255, -0.09433962264150964
33.502538071066, 0.283018867924528
39.59390862944164, 0.6132075471698109
45.68527918781726, 0.9433962264150937
47.71573604060916, 1.2264150943396226
51.7766497461929, 1.5094339622641506
57.868020304568546, 1.7452830188679243
61.92893401015229, 2.0283018867924527
68.02030456852793, 2.3113207547169807
72.08121827411168, 2.688679245283019
80.20304568527919, 3.0188679245283017
86.29441624365484, 3.349056603773585
92.38578680203047, 3.632075471698113
98.4771573604061, 3.8679245283018866
102.53807106598985, 4.150943396226415
108.62944162436548, 4.386792452830188
114.72081218274113, 4.716981132075472
120.81218274111676, 5
128.93401015228426, 5.283018867924528
135.0253807106599, 5.660377358490566
141.11675126903555, 5.990566037735849
147.20812182741116, 6.273584905660377
153.2994923857868, 6.60377358490566
161.42131979695432, 6.933962264150944
167.51269035532994, 7.264150943396227
175.63451776649745, 7.547169811320755
181.7258883248731, 7.8773584905660385
189.8477157360406, 8.160377358490566
195.93908629441626, 8.443396226415095
202.03045685279187, 8.679245283018869
208.12182741116752, 8.915094339622641
214.21319796954316, 9.150943396226415
222.33502538071065, 9.481132075471699
232.48730964467006, 9.81132075471698
242.63959390862942, 10.141509433962264
250.76142131979697, 10.424528301886792
258.88324873096445, 10.70754716981132
269.03553299492387, 11.037735849056604
277.15736040609136, 11.367924528301888
287.3096446700508, 11.650943396226417
295.43147208121826, 11.88679245283019
305.5837563451777, 12.216981132075471
315.73604060913704, 12.5
327.9187817258883, 12.830188679245284
338.07106598984774, 13.113207547169813
348.2233502538071, 13.39622641509434
360.40609137055833, 13.679245283018869
370.55837563451774, 13.915094339622643
380.71065989847716, 14.245283018867925
392.8934010152284, 14.528301886792454
403.0456852791878, 14.716981132075473
413.1979695431472, 14.952830188679245
425.38071065989845, 15.18867924528302
439.5939086294416, 15.424528301886793
449.74619289340103, 15.707547169811322
463.95939086294413, 15.89622641509434
476.1421319796954, 16.132075471698116
490.3553299492386, 16.367924528301888
502.5380710659898, 16.60377358490566
516.7512690355329, 16.839622641509436
528.9340101522843, 17.07547169811321
541.1167512690355, 17.31132075471698
557.3604060913706, 17.59433962264151
571.5736040609137, 17.830188679245282
585.7868020304568, 18.113207547169814
600, 18.301886792452834
610.1522842639594, 18.443396226415096
624.3654822335025, 18.67924528301887
638.5786802030457, 18.820754716981135
650.7614213197969, 18.962264150943398
667.0050761421319, 19.150943396226417
683.248730964467, 19.29245283018868
697.4619289340101, 19.4811320754717
711.6751269035533, 19.669811320754718
725.8883248730964, 19.858490566037737
742.1319796954315, 20
758.3756345177665, 20.18867924528302
772.5888324873096, 20.37735849056604
786.8020304568528, 20.5188679245283
798.984771573604, 20.660377358490567
813.1979695431472, 20.754716981132077
829.4416243654822, 20.89622641509434
845.6852791878172, 21.037735849056606
861.9289340101523, 21.132075471698116
878.1725888324872, 21.27358490566038
896.4467005076142, 21.367924528301888
912.6903553299492, 21.50943396226415
928.9340101522843, 21.650943396226417
945.1776649746192, 21.79245283018868
963.4517766497462, 21.839622641509436
981.725888324873, 22.028301886792455
995.9390862944161, 22.122641509433965
1010.1522842639594, 22.216981132075475
1026.3959390862942, 22.31132075471698
1040.6091370558374, 22.358490566037737
1054.8223350253807, 22.40566037735849
1067.0050761421319, 22.452830188679247
1083.248730964467, 22.5
1097.46192893401, 22.59433962264151
1113.7055837563453, 22.68867924528302
1129.9492385786803, 22.78301886792453
1146.1928934010152, 22.830188679245285
1162.4365482233502, 22.87735849056604
1176.6497461928934, 22.971698113207548
1192.8934010152284, 23.018867924528305
1207.1065989847716, 23.066037735849058
1223.3502538071066, 23.160377358490567
1241.6243654822335, 23.160377358490567
1255.8375634517765, 23.20754716981132
1272.0812182741115, 23.254716981132077
1288.3248730964467, 23.30188679245283
1306.5989847715734, 23.30188679245283
1324.8730964467004, 23.349056603773587
1343.1472081218274, 23.39622641509434
1361.4213197969543, 23.443396226415096
1377.6649746192893, 23.49056603773585
1391.8781725888325, 23.537735849056606
1408.1218274111675, 23.58490566037736
1426.3959390862944, 23.58490566037736
1442.6395939086294, 23.67924528301887
1458.8832487309644, 23.67924528301887
1477.1573604060914, 23.726415094339625
1491.3705583756343, 23.77358490566038
1505.5837563451776, 23.77358490566038
1521.8274111675125, 23.820754716981135
1540.1015228426395, 23.820754716981135
1560.4060913705582, 23.820754716981135
1578.6802030456852, 23.820754716981135
1596.9543147208121, 23.820754716981135
1615.228426395939, 23.820754716981135
1631.472081218274, 23.867924528301888
1649.746192893401, 23.867924528301888
1665.989847715736, 23.867924528301888
1682.233502538071, 23.867924528301888
1698.477157360406, 23.915094339622645
1716.751269035533, 23.915094339622645
1732.994923857868, 23.915094339622645
1747.208121827411, 23.962264150943398
1763.451776649746, 23.915094339622645
1781.725888324873, 23.915094339622645
1795.939086294416, 23.962264150943398
1814.213197969543, 23.962264150943398